location,target_count,target_sum,geodata,address,point
lfc x gsw,1,1,,,
"liberty lake, wa",1,0,"Liberty Lake, Spokane County, Washington, 99019, United States of America","Liberty Lake, Spokane County, Washington, 99019, United States of America","(47.6681145, -117.1048656, 0.0)"
"liberty township, ohio",1,0,"Liberty Township, Butler County, Ohio, 45004, United States of America","Liberty Township, Butler County, Ohio, 45004, United States of America","(39.401384050000004, -84.4096946354029, 0.0)"
"light and dark, form and void",1,0,,,
like us on face ,1,0,,,
"lima, oh",1,0,"Lima, Allen County, Ohio, United States of America","Lima, Allen County, Ohio, United States of America","(40.7399785, -84.105006, 0.0)"
"lima, ohio",1,1,"Lima, Allen County, Ohio, United States of America","Lima, Allen County, Ohio, United States of America","(40.7399785, -84.105006, 0.0)"
"lima, peru",1,0,"Lima, Peru","Lima, Peru","(-12.0621065, -77.0365256, 0.0)"
lincoln,1,0,"Lincoln, Lincoln County, Washington, United States of America","Lincoln, Lincoln County, Washington, United States of America","(47.8299069, -118.414727, 0.0)"
lincoln city oregon,1,0,"Lincoln City, Lincoln County, Oregon, 97368, United States of America","Lincoln City, Lincoln County, Oregon, 97368, United States of America","(44.9617922, -124.0159522, 0.0)"
"lincoln, il",1,0,"Lincoln, Lincoln County, Washington, United States of America","Lincoln, Lincoln County, Washington, United States of America","(47.8299069, -118.414727, 0.0)"
"lincoln, ne",2,2,"Lincoln, Lancaster County, Nebraska, 68508, United States of America","Lincoln, Lancaster County, Nebraska, 68508, United States of America","(40.8088861, -96.7077751, 0.0)"
lindenhurst,1,0,"Lindenhurst, Suffolk County, New York, 11757, United States of America","Lindenhurst, Suffolk County, New York, 11757, United States of America","(40.6867667, -73.3734547, 0.0)"
"linton hall, va",1,0,"Linton Hall, Prince William County, Virginia, 20136, United States of America","Linton Hall, Prince William County, Virginia, 20136, United States of America","(38.7598381, -77.5749905, 0.0)"
"lisbon, portugal",2,0,"Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, Portugal","Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, Portugal","(38.7077507, -9.1365919, 0.0)"
"littleton, co",1,0,"Littleton, Arapahoe County, Colorado, United States of America","Littleton, Arapahoe County, Colorado, United States of America","(39.613321, -105.0166498, 0.0)"
"littleton, co, usa",1,0,"Littleton, Arapahoe County, Colorado, United States of America","Littleton, Arapahoe County, Colorado, United States of America","(39.613321, -105.0166498, 0.0)"
"littleton, co, usa, terran",1,0,,,
"live oak, tx",1,1,"Live Oak County, Texas, United States of America","Live Oak County, Texas, United States of America","(28.2678746, -98.101923, 0.0)"
liverpool,3,2,"Liverpool, North West England, England, United Kingdom","Liverpool, North West England, England, United Kingdom","(53.407154, -2.991665, 0.0)"
liverpool ,1,0,"Liverpool, North West England, England, United Kingdom","Liverpool, North West England, England, United Kingdom","(53.407154, -2.991665, 0.0)"
lives in london,1,1,"Little Lives UK, Coombe Lane, Cottenham Park, Raynes Park, London Borough of Merton, London, Greater London, England, SW20, United Kingdom","Little Lives UK, Coombe Lane, Cottenham Park, Raynes Park, London Borough of Merton, London, Greater London, England, SW20, United Kingdom","(51.4095586, -0.2310455, 0.0)"
livin in a plastic world,1,1,,,
"livingston, mt",1,0,"Livingston, Park County, Montana, United States of America","Livingston, Park County, Montana, United States of America","(45.671445, -110.52926004348622, 0.0)"
"livonia, mi",1,0,"Livonia, Wayne County, Michigan, United States of America","Livonia, Wayne County, Michigan, United States of America","(42.36837, -83.3527097, 0.0)"
"ljubljana, slovenia",1,1,"Ljubljana, Upravna Enota Ljubljana, Slovenija","Ljubljana, Upravna Enota Ljubljana, Slovenija","(46.0499803, 14.5068602, 0.0)"
location,2,1,"Location, Tucker County, West Virginia, United States of America","Location, Tucker County, West Virginia, United States of America","(39.2138905, -79.6371124, 0.0)"
london,49,17,"London, Greater London, England, SW1A 2DX, United Kingdom","London, Greater London, England, SW1A 2DX, United Kingdom","(51.5073219, -0.1276474, 0.0)"
london ,1,0,"London, Greater London, England, SW1A 2DX, United Kingdom","London, Greater London, England, SW1A 2DX, United Kingdom","(51.5073219, -0.1276474, 0.0)"
london essex england uk,1,0,"London Stansted Airport, Bassingbourn Roundabout, Takeley, Uttlesford, Essex, East of England, England, CM24 1PY, United Kingdom","London Stansted Airport, Bassingbourn Roundabout, Takeley, Uttlesford, Essex, East of England, England, CM24 1PY, United Kingdom","(51.88696515, 0.24419290157330298, 0.0)"
london uk,3,2,"London, Greater London, England, SW1A 2DX, United Kingdom","London, Greater London, England, SW1A 2DX, United Kingdom","(51.5073219, -0.1276474, 0.0)"
"london, england",10,1,"London, Greater London, England, SW1A 2DX, United Kingdom","London, Greater London, England, SW1A 2DX, United Kingdom","(51.5073219, -0.1276474, 0.0)"
"london, greater london, uk",1,0,"London, Greater London, England, SW1A 2DX, United Kingdom","London, Greater London, England, SW1A 2DX, United Kingdom","(51.5073219, -0.1276474, 0.0)"
"london, riyadh",1,1,"Forever Rose London, طريق التخصصي, المحمدية, Al Muhammadiyah District حي المحمدية, الرياض, منطقة الرياض, 12364, Saudi Arabia / السعودية","Forever Rose London, طريق التخصصي, المحمدية, Al Muhammadiyah District حي المحمدية, الرياض, منطقة الرياض, 12364, Saudi Arabia / السعودية","(24.731752, 46.649344, 0.0)"
"london, sydney",1,1,"The London, Underwood Street, Paddington, Sydney, Woollahra Municipal Council, New South Wales, NSW 2021, Australia","The London, Underwood Street, Paddington, Sydney, Woollahra Municipal Council, New South Wales, NSW 2021, Australia","(-33.8852037, 151.23002984522788, 0.0)"
"london, uk",10,5,"London, Greater London, England, SW1A 2DX, United Kingdom","London, Greater London, England, SW1A 2DX, United Kingdom","(51.5073219, -0.1276474, 0.0)"
"london, united kingdom",1,1,"London, Greater London, England, SW1A 2DX, United Kingdom","London, Greater London, England, SW1A 2DX, United Kingdom","(51.5073219, -0.1276474, 0.0)"
londonstan,1,0,,,
"long beach, ca",1,0,"Long Beach, Newfoundland, Newfoundland and Labrador, Canada","Long Beach, Newfoundland, Newfoundland and Labrador, Canada","(47.9960267, -53.8155345, 0.0)"
long island,1,0,"Long Island, Lake Ronkonkoma, Suffolk County, New York, United States of America","Long Island, Lake Ronkonkoma, Suffolk County, New York, United States of America","(40.85172235, -73.09921882199973, 0.0)"
"long island, ny",2,1,"Long Island, Lake Ronkonkoma, Suffolk County, New York, United States of America","Long Island, Lake Ronkonkoma, Suffolk County, New York, United States of America","(40.85172235, -73.09921882199973, 0.0)"
los angeles,14,8,"Los Angeles, Los Angeles County, California, United States of America","Los Angeles, Los Angeles County, California, United States of America","(34.0536909, -118.2427666, 0.0)"
los angeles ,2,0,"Los Angeles, Los Angeles County, California, United States of America","Los Angeles, Los Angeles County, California, United States of America","(34.0536909, -118.2427666, 0.0)"
los angeles for now,1,1,,,
los angeles new york,1,0,"New York, Woodside Village, West Covina, Los Angeles County, California, 91792, United States of America","New York, Woodside Village, West Covina, Los Angeles County, California, 91792, United States of America","(34.0143928, -117.898451, 0.0)"
"los angeles, ca",28,8,"Los Angeles, Los Angeles County, California, United States of America","Los Angeles, Los Angeles County, California, United States of America","(34.0536909, -118.2427666, 0.0)"
"los angeles, california",3,1,"Los Angeles, Los Angeles County, California, United States of America","Los Angeles, Los Angeles County, California, United States of America","(34.0536909, -118.2427666, 0.0)"
"los angeles, london, kent",1,0,,,
"los angeles,ca, usa",1,0,"Los Angeles, Los Angeles County, California, United States of America","Los Angeles, Los Angeles County, California, United States of America","(34.0536909, -118.2427666, 0.0)"
"los angles, ca",1,0,"Angles, Grande Boulevard, Glenbow, Cochrane, Town of Cochrane, Alberta, T4C 0W5, Canada","Angles, Grande Boulevard, Glenbow, Cochrane, Town of Cochrane, Alberta, T4C 0W5, Canada","(51.1851768, -114.4755475, 0.0)"
lost in history,1,0,,,
lost in my thoughts,1,1,,,
"louavul, ky",1,0,,,
"loughborough, england",1,1,"Loughborough, Charnwood, Leicestershire, East Midlands, England, LE11 5BJ, United Kingdom","Loughborough, Charnwood, Leicestershire, East Midlands, England, LE11 5BJ, United Kingdom","(52.7723859, -1.2077985, 0.0)"
"loughton, essex, uk",1,0,"Loughton, Lancaster Drive, Loughton, Epping Forest, Essex, East of England, England, IG10 3NQ, United Kingdom","Loughton, Lancaster Drive, Loughton, Epping Forest, Essex, East of England, England, IG10 3NQ, United Kingdom","(51.6412212, 0.0553002, 0.0)"
louisiana,2,0,"Louisiana, United States of America","Louisiana, United States of America","(30.8703881, -92.007126, 0.0)"
"louisiana, usa",1,0,"Louisiana, United States of America","Louisiana, United States of America","(30.8703881, -92.007126, 0.0)"
"louisville, kentucky",1,0,"Louisville, Jefferson County, Kentucky, United States of America","Louisville, Jefferson County, Kentucky, United States of America","(38.2542376, -85.759407, 0.0)"
"louisville, ky",1,1,"Louisville, Jefferson County, Kentucky, United States of America","Louisville, Jefferson County, Kentucky, United States of America","(38.2542376, -85.759407, 0.0)"
"louisville, ky ",1,0,"Louisville, Jefferson County, Kentucky, United States of America","Louisville, Jefferson County, Kentucky, United States of America","(38.2542376, -85.759407, 0.0)"
loveland colorado,1,0,"Loveland, Larimer County, Colorado, United States of America","Loveland, Larimer County, Colorado, United States of America","(40.385549, -105.04436132094955, 0.0)"
"lowell, ma",1,0,"Lowell, Middlesex County, Massachusetts, United States of America","Lowell, Middlesex County, Massachusetts, United States of America","(42.6334247, -71.3161718, 0.0)"
lowestoft,1,0,"Lowestoft, Suffolk, East of England, England, NR32 1HA, United Kingdom","Lowestoft, Suffolk, East of England, England, NR32 1HA, United Kingdom","(52.4766308, 1.7537638, 0.0)"
"lp, mn usa",1,0,"The Loop, Washington Avenue North, St Anthony West, Near North, Minneapolis, Hennepin County, Minnesota, 55401, United States of America","The Loop, Washington Avenue North, St Anthony West, Near North, Minneapolis, Hennepin County, Minnesota, 55401, United States of America","(44.9872838, -93.2761088, 0.0)"
"lubbock, texas",1,0,"Lubbock, Lubbock County, Texas, United States of America","Lubbock, Lubbock County, Texas, United States of America","(33.5635206, -101.879336, 0.0)"
"lubbock, tx",1,1,"Lubbock, Lubbock County, Texas, United States of America","Lubbock, Lubbock County, Texas, United States of America","(33.5635206, -101.879336, 0.0)"
"lucknow, india",1,1,"Lucknow, Sadar, Lucknow, Uttar Pradesh, 226019, India","Lucknow, Sadar, Lucknow, Uttar Pradesh, 226019, India","(26.8381, 80.9346001, 0.0)"
lugo,1,1,"Lugo, Galicia / Galiza, España","Lugo, Galicia / Galiza, España","(43.0462247, -7.4739921, 0.0)"
lurking,1,0,,,
"lyallpur, pakistan",2,2,"Lyallpur Cotton Mill, Dijkot Road, فیصل آباد, Faisalābād District, پنجاب, 041, پاکستان","Lyallpur Cotton Mill, Dijkot Road, فیصل آباد, Faisalābād District, پنجاب, 041, پاکستان","(31.3985653, 73.0743829, 0.0)"
lynbrook,1,0,"Lynbrook, Nassau County, New York, United States of America","Lynbrook, Nassau County, New York, United States of America","(40.6548253, -73.6717969, 0.0)"
"lynchburg, va",1,0,"Lynchburg, Lynchburg (city), Virginia, 24505, United States of America","Lynchburg, Lynchburg (city), Virginia, 24505, United States of America","(37.4137536, -79.1422464, 0.0)"
"lynnfield, ma",1,0,"Lynnfield, Essex County, Massachusetts, 01940, United States of America","Lynnfield, Essex County, Massachusetts, 01940, United States of America","(42.5389836, -71.0481084, 0.0)"
"lynwood, ca",1,0,"Lynwood, Los Angeles County, California, United States of America","Lynwood, Los Angeles County, California, United States of America","(33.924831, -118.2024154, 0.0)"
ma,2,0,"Roma, Roma Capitale, Italia","Roma, Roma Capitale, Italia","(41.8933203, 12.4829321, 0.0)"
ma via pa,1,1,"Via La Pa', Toveraia di Sopra, Ottone, Piacenza, Emilia-Romagna, Italia","Via La Pa', Toveraia di Sopra, Ottone, Piacenza, Emilia-Romagna, Italia","(44.6215255, 9.3331954, 0.0)"
macclesfield,2,1,"Macclesfield, Cheshire East, North West England, England, SK10 1AG, United Kingdom","Macclesfield, Cheshire East, North West England, England, SK10 1AG, United Kingdom","(53.2606635, -2.1255158, 0.0)"
mackem in bolton,1,0,,,
"macon, ga",2,1,"Macon, Bibb County, Georgia, United States of America","Macon, Bibb County, Georgia, United States of America","(32.8406946, -83.6324022, 0.0)"
"macon, georgia",1,1,"Macon, Bibb County, Georgia, United States of America","Macon, Bibb County, Georgia, United States of America","(32.8406946, -83.6324022, 0.0)"
mad as hell,2,2,,,
made here in detroit ,1,1,,,
made in america,1,0,,,
"madison, wi",3,1,"Madison, Dane County, Wisconsin, United States of America","Madison, Dane County, Wisconsin, United States of America","(43.074761, -89.3837613, 0.0)"
"madison, wisconsin, usa",1,1,"Madison, Dane County, Wisconsin, United States of America","Madison, Dane County, Wisconsin, United States of America","(43.074761, -89.3837613, 0.0)"
madisonville tn,1,0,"Madisonville, Monroe County, Tennessee, 37354, United States of America","Madisonville, Monroe County, Tennessee, 37354, United States of America","(35.5197984, -84.3635338, 0.0)"
madrid,1,1,"Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España","Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España","(40.4167047, -3.7035825, 0.0)"
"madrid, comunidad de madrid",1,0,"Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España","Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España","(40.4167047, -3.7035825, 0.0)"
magnolia,1,0,"Magnolia, Montgomery County, Texas, United States of America","Magnolia, Montgomery County, Texas, United States of America","(30.2093794, -95.7507815, 0.0)"
"magnolia, fiore ",1,1,"Caffè Fiore, Leary Avenue Northwest, Ballard, Seattle, King County, Washington, 98107, United States of America","Caffè Fiore, Leary Avenue Northwest, Ballard, Seattle, King County, Washington, 98107, United States of America","(47.6669513, -122.3827029, 0.0)"
maharashtra,1,1,"Maharashtra, India","Maharashtra, India","(19.531932, 76.0554568, 0.0)"
mainly california,1,1,,,
makai,1,0,"Makai, Makeni, Bombali District, Northern Province, Sierra Leone","Makai, Makeni, Bombali District, Northern Province, Sierra Leone","(8.9414729, -12.0907376, 0.0)"
making worldwide change near u,1,0,,,
malang,1,1,"Malang, Jawa Timur, Indonesia","Malang, Jawa Timur, Indonesia","(-8.10479815, 112.68798721390587, 0.0)"
malaysia,3,1,Malaysia,Malaysia,"(4.5693754, 102.2656823, 0.0)"
maldives,2,1,ދިވެހިރާއްޖެ,ދިވެހިރާއްޖެ,"(4.7064352, 73.3287853, 0.0)"
manaus,1,1,"Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.1316333, -59.9825041, 0.0)"
"manavadar, gujarat",1,0,"Manavadar, Manavadar Taluka, Junagadh District, Gujarat, 362630, India","Manavadar, Manavadar Taluka, Junagadh District, Gujarat, 362630, India","(21.4979645, 70.1406499, 0.0)"
manchester,9,2,"Manchester, Greater Manchester, North West England, England, United Kingdom","Manchester, Greater Manchester, North West England, England, United Kingdom","(53.4794892, -2.2451148, 0.0)"
manchester uk,1,1,"Manchester, Greater Manchester, North West England, England, United Kingdom","Manchester, Greater Manchester, North West England, England, United Kingdom","(53.4794892, -2.2451148, 0.0)"
"manchester, england",4,1,"Manchester, Greater Manchester, North West England, England, United Kingdom","Manchester, Greater Manchester, North West England, England, United Kingdom","(53.4794892, -2.2451148, 0.0)"
"manchester, nh",2,2,"Manchester, Hillsborough County, New Hampshire, United States of America","Manchester, Hillsborough County, New Hampshire, United States of America","(42.9956397, -71.4547891, 0.0)"
"manchester, the world, england",1,0,"Manchester Airport, Sunbank Lane, World Logistics Hub, Ringway, Manchester, Greater Manchester, North West England, England, M90 1QX, United Kingdom","Manchester Airport, Sunbank Lane, World Logistics Hub, Ringway, Manchester, Greater Manchester, North West England, England, M90 1QX, United Kingdom","(53.350342049999995, -2.280369252664295, 0.0)"
"manchester, uk",2,1,"Manchester, Greater Manchester, North West England, England, United Kingdom","Manchester, Greater Manchester, North West England, England, United Kingdom","(53.4794892, -2.2451148, 0.0)"
manhattan,1,0,"Manhattan, New York County, New York, United States of America","Manhattan, New York County, New York, United States of America","(40.7896239, -73.9598939, 0.0)"
"manhattan, ny",3,1,"Manhattan, New York County, New York, United States of America","Manhattan, New York County, New York, United States of America","(40.7896239, -73.9598939, 0.0)"
manila,1,1,"Manila, NCR, First District, Metro Manila, Philippines","Manila, NCR, First District, Metro Manila, Philippines","(14.5906216, 120.9799696, 0.0)"
manila city,1,0,"Manila, NCR, First District, Metro Manila, Philippines","Manila, NCR, First District, Metro Manila, Philippines","(14.5906216, 120.9799696, 0.0)"
"manila, philippines",2,1,"Manila, NCR, First District, Metro Manila, Philippines","Manila, NCR, First District, Metro Manila, Philippines","(14.5906216, 120.9799696, 0.0)"
"mankato, mn",1,1,"Mankato, Blue Earth County, Minnesota, United States of America","Mankato, Blue Earth County, Minnesota, United States of America","(44.1634663, -93.9993505, 0.0)"
"maracay y nirgua, venezuela",1,1,"Funeraria La Maracay, Avenida 4, Higuerón, San Felipe, Distrito Bolívar, Yaracuy, Región Centroccidental, 3205, Venezuela","Funeraria La Maracay, Avenida 4, Higuerón, San Felipe, Distrito Bolívar, Yaracuy, Región Centroccidental, 3205, Venezuela","(10.33204815, -68.74278619724328, 0.0)"
"maricopa, az",1,0,"Maricopa County, Arizona, United States of America","Maricopa County, Arizona, United States of America","(33.34883, -112.49123, 0.0)"
"marietta, ga",1,1,"Marietta, Cobb County, Georgia, United States of America","Marietta, Cobb County, Georgia, United States of America","(33.9528472, -84.5496148, 0.0)"
"mariveles, bataan",1,1,"Mariveles, Bataan, Central Luzon, 2105, Philippines","Mariveles, Bataan, Central Luzon, 2105, Philippines","(14.4356104, 120.4903545, 0.0)"
mars,1,0,"Mars, Tournon-sur-Rhône, Ardèche, Auvergne-Rhône-Alpes, France métropolitaine, 07320, France","Mars, Tournon-sur-Rhône, Ardèche, Auvergne-Rhône-Alpes, France métropolitaine, 07320, France","(45.022172, 4.3221548, 0.0)"
maryland,5,2,"Maryland, United States of America","Maryland, United States of America","(39.5162234, -76.9382069, 0.0)"
maryland ,1,0,"Maryland, United States of America","Maryland, United States of America","(39.5162234, -76.9382069, 0.0)"
"maryland, usa",1,0,"Maryland, United States of America","Maryland, United States of America","(39.5162234, -76.9382069, 0.0)"
"maryland,baltimore",1,0,"Baltimore, Maryland, 21203, United States of America","Baltimore, Maryland, 21203, United States of America","(39.2908816, -76.610759, 0.0)"
marysville ca ,1,0,"Marysville, Frontenac County, Eastern Ontario, Ontario, K0H 2Y0, Canada","Marysville, Frontenac County, Eastern Ontario, Ontario, K0H 2Y0, Canada","(44.1935658, -76.440109, 0.0)"
"marysville, mi",1,0,"Marysville, Snohomish County, Washington, United States of America","Marysville, Snohomish County, Washington, United States of America","(48.0517429, -122.1768209, 0.0)"
mass,1,0,"Massachusetts, United States of America","Massachusetts, United States of America","(42.3788774, -72.032366, 0.0)"
massachusetts,6,3,"Massachusetts, United States of America","Massachusetts, United States of America","(42.3788774, -72.032366, 0.0)"
massachusetts ,1,0,"Massachusetts, United States of America","Massachusetts, United States of America","(42.3788774, -72.032366, 0.0)"
"massachusetts, usa",4,2,"Massachusetts, United States of America","Massachusetts, United States of America","(42.3788774, -72.032366, 0.0)"
mauritius,1,1,Mauritius,Mauritius,"(-20.2759451, 57.5703566, 0.0)"
"mclean, va",1,0,"McLean, Fairfax County, Virginia, United States of America","McLean, Fairfax County, Virginia, United States of America","(38.9342888, -77.1776327, 0.0)"
md,1,0,"Maryland, United States of America","Maryland, United States of America","(39.5162234, -76.9382069, 0.0)"
"medan,indonesia",1,0,"Kota Medan, Sumatera Utara, Indonesia","Kota Medan, Sumatera Utara, Indonesia","(3.5896654, 98.6738261, 0.0)"
"medford, nj",1,1,"Medford, Burlington County, New Jersey, 08055, United States of America","Medford, Burlington County, New Jersey, 08055, United States of America","(39.9009472, -74.8234961, 0.0)"
"medford, oregon",1,0,"Medford, Jackson County, Oregon, United States of America","Medford, Jackson County, Oregon, United States of America","(42.3264181, -122.8718605, 0.0)"
meereen ,1,0,"Meereen Street, Charlemont, Armstrong Creek Urban Growth Area, City of Greater Geelong, Victoria, 3217, Australia","Meereen Street, Charlemont, Armstrong Creek Urban Growth Area, City of Greater Geelong, Victoria, 3217, Australia","(-38.2156217, 144.3599791, 0.0)"
melbourne,5,4,"City of Melbourne, Victoria, Australia","City of Melbourne, Victoria, Australia","(-37.8142176, 144.9631608, 0.0)"
melbourne australia,2,1,"City of Melbourne, Victoria, Australia","City of Melbourne, Victoria, Australia","(-37.8142176, 144.9631608, 0.0)"
"melbourne, australia",5,4,"City of Melbourne, Victoria, Australia","City of Melbourne, Victoria, Australia","(-37.8142176, 144.9631608, 0.0)"
"melbourne, fl",1,0,"Melbourne, Brevard County, Florida, United States of America","Melbourne, Brevard County, Florida, United States of America","(28.0836269, -80.6081089, 0.0)"
"melbourne, florida",1,1,"Melbourne, Brevard County, Florida, United States of America","Melbourne, Brevard County, Florida, United States of America","(28.0836269, -80.6081089, 0.0)"
"melbourne, victoria",2,1,"City of Melbourne, Victoria, Australia","City of Melbourne, Victoria, Australia","(-37.8142176, 144.9631608, 0.0)"
melrose,1,1,"Melrose, Middlesex County, Massachusetts, United States of America","Melrose, Middlesex County, Massachusetts, United States of America","(42.4564323, -71.064182, 0.0)"
"melton, ga",1,0,"Melton, Augusta, Richmond County, Georgia, 30815, United States of America","Melton, Augusta, Richmond County, Georgia, 30815, United States of America","(33.3406969, -82.0773407, 0.0)"
memphis,3,2,"Memphis, Shelby County, Tennessee, United States of America","Memphis, Shelby County, Tennessee, United States of America","(35.1490215, -90.0516285, 0.0)"
"memphis, in the tennessees",1,1,,,
"memphis, tn",7,5,"Memphis, Shelby County, Tennessee, United States of America","Memphis, Shelby County, Tennessee, United States of America","(35.1490215, -90.0516285, 0.0)"
"menasha, wi",1,1,"Menasha, Winnebago County, Wisconsin, 54952, United States of America","Menasha, Winnebago County, Wisconsin, 54952, United States of America","(44.2022293, -88.4465361, 0.0)"
mentor oh,1,0,"Mentor, Lake County, Ohio, 44060, United States of America","Mentor, Lake County, Ohio, 44060, United States of America","(41.6661573, -81.339552, 0.0)"
"mesa, az",2,1,"Mesa, Maricopa County, Arizona, United States of America","Mesa, Maricopa County, Arizona, United States of America","(33.4151117, -111.8314773, 0.0)"
"methville, ca",1,0,,,
metro manila,1,0,"Metro Manila, Philippines","Metro Manila, Philippines","(14.5736108, 121.0329706, 0.0)"
mexico,1,0,"Ciudad de México, Cuauhtémoc, Ciudad de México, 06060, México","Ciudad de México, Cuauhtémoc, Ciudad de México, 06060, México","(19.4326296, -99.1331785, 0.0)"
mexico city,1,0,"Ciudad de México, Cuauhtémoc, Ciudad de México, 06060, México","Ciudad de México, Cuauhtémoc, Ciudad de México, 06060, México","(19.4326296, -99.1331785, 0.0)"
mi,2,0,United States,United States,"(39.7837304, -100.4458825, 0.0)"
"mi,usa",1,0,United States,United States,"(39.7837304, -100.4458825, 0.0)"
miami,2,1,"Miami, Miami-Dade County, Florida, United States of America","Miami, Miami-Dade County, Florida, United States of America","(25.7742658, -80.1936589, 0.0)"
"miami beach, fl",1,0,"Miami Beach, Miami-Dade County, Florida, United States of America","Miami Beach, Miami-Dade County, Florida, United States of America","(25.7929198, -80.1353006, 0.0)"
miami via lima,1,0,"Miami, Caupolicán, Carozzi, El Salero, Quilpué, Provincia de Marga Marga, Región de Valparaíso, 2421183, Chile","Miami, Caupolicán, Carozzi, El Salero, Quilpué, Provincia de Marga Marga, Región de Valparaíso, 2421183, Chile","(-33.048877, -71.4357734, 0.0)"
miami x dallas ,1,0,"Miami Drive, Rose Hill, Garland, Dallas County, Texas, 75043, United States of America","Miami Drive, Rose Hill, Garland, Dallas County, Texas, 75043, United States of America","(32.856534, -96.599264, 0.0)"
"miami, fl",2,0,"Miami, Miami-Dade County, Florida, United States of America","Miami, Miami-Dade County, Florida, United States of America","(25.7742658, -80.1936589, 0.0)"
"miami, florida",1,1,"Miami, Miami-Dade County, Florida, United States of America","Miami, Miami-Dade County, Florida, United States of America","(25.7742658, -80.1936589, 0.0)"
"miami,fl",1,1,"Miami, Miami-Dade County, Florida, United States of America","Miami, Miami-Dade County, Florida, United States of America","(25.7742658, -80.1936589, 0.0)"
"miami,fla",1,1,"Miami Gardens, West Park, Broward County, Florida, 33023, United States of America","Miami Gardens, West Park, Broward County, Florida, 33023, United States of America","(25.9798139, -80.2025475, 0.0)"
michigan,5,3,"Michigan, United States of America","Michigan, United States of America","(43.6211955, -84.6824346, 0.0)"
michigan ,1,0,"Michigan, United States of America","Michigan, United States of America","(43.6211955, -84.6824346, 0.0)"
"michigan, usa",2,0,"Michigan, United States of America","Michigan, United States of America","(43.6211955, -84.6824346, 0.0)"
mid north coast of nsw,1,1,,,
mid west,1,0,"Mid West, Diamond Park, Tunasan, Muntinlupa, NCR, Fourth District, Metro Manila, 4023, Philippines","Mid West, Diamond Park, Tunasan, Muntinlupa, NCR, Fourth District, Metro Manila, 4023, Philippines","(14.3486877, 121.0094744, 0.0)"
middle eastern palace,1,0,"Churchill Palace Hotel, Middle Street, North Laine Retail Area, Round Hill, Brighton, Brighton and Hove, South East, England, BN1 1AL, United Kingdom","Churchill Palace Hotel, Middle Street, North Laine Retail Area, Round Hill, Brighton, Brighton and Hove, South East, England, BN1 1AL, United Kingdom","(50.8208098, -0.1434461, 0.0)"
midwest,5,4,"Midwest, Natrona County, Wyoming, United States of America","Midwest, Natrona County, Wyoming, United States of America","(43.411391, -106.280075, 0.0)"
"midwest city, ok",1,0,"Midwest City, Oklahoma County, Oklahoma, United States of America","Midwest City, Oklahoma County, Oklahoma, United States of America","(35.4495097, -97.3967025, 0.0)"
midwestern usa,1,1,"Midwestern Feedlot Retention Dam, Cass County, Nebraska, 68403, United States of America","Midwestern Feedlot Retention Dam, Cass County, Nebraska, 68403, United States of America","(40.9216666, -96.1402893, 0.0)"
milky way,1,0,"Milky Way, Seychelles","Milky Way, Seychelles","(-7.1280388, 52.7448393, 0.0)"
milky way galaxy ,1,0,"Milky Way, McClellan Park, Madison, Dane County, Wisconsin, 53718, United States of America","Milky Way, McClellan Park, Madison, Dane County, Wisconsin, 53718, United States of America","(43.0976743, -89.2796604, 0.0)"
milton keynes,1,0,"Milton Keynes, South East, England, MK9 3AF, United Kingdom","Milton Keynes, South East, England, MK9 3AF, United Kingdom","(52.0429797, -0.7589607, 0.0)"
milton keynes ,1,0,"Milton Keynes, South East, England, MK9 3AF, United Kingdom","Milton Keynes, South East, England, MK9 3AF, United Kingdom","(52.0429797, -0.7589607, 0.0)"
"milton keynes, england",1,0,"Milton Keynes, South East, England, MK9 3AF, United Kingdom","Milton Keynes, South East, England, MK9 3AF, United Kingdom","(52.0429797, -0.7589607, 0.0)"
milwaukee county,1,0,"Milwaukee County, Wisconsin, United States of America","Milwaukee County, Wisconsin, United States of America","(43.018032500000004, -87.97408733038324, 0.0)"
milwaukee wi,1,0,"Milwaukee, Milwaukee County, Wisconsin, United States of America","Milwaukee, Milwaukee County, Wisconsin, United States of America","(43.0349931, -87.922497, 0.0)"
"milwaukee, wi",3,1,"Milwaukee, Milwaukee County, Wisconsin, United States of America","Milwaukee, Milwaukee County, Wisconsin, United States of America","(43.0349931, -87.922497, 0.0)"
mind ya business,1,1,"Mind, Nakielska, Łochowo, Łochowice, gmina Białe Błota, powiat bydgoski, województwo kujawsko-pomorskie, 86-065, Polska","Mind, Nakielska, Łochowo, Łochowice, gmina Białe Błota, powiat bydgoski, województwo kujawsko-pomorskie, 86-065, Polska","(53.1297081, 17.806380856383548, 0.0)"
